SubjectID,Session,Phase,UN,LocalTimestamp
2,4,posttest,2ee4-posttest,1659520856
3,1,pretest,3ee1-pretest,1659429980
3,1,start,3ee1-start,1659429992
3,1,takeoff,3ee1-takeoff,1659430033
3,1,p1,3ee1-p1,1659430059
3,1,p1End,3ee1-p1end,1659430087
3,1,p2,3ee1-p2,1659430103
3,1,p2End,3ee1-p1end,1659430136
3,1,landing,3ee1-landing,1659430153
3,1,posttest,3ee1-posttest,1659430157
3,2,pretest,3ee2-pretest,1659521241
3,2,start,3ee2-start,1659521253
3,2,takeoff,3ee2-takeoff,1659521264
3,2,p1,3ee2-p1,1659521292
3,2,p1End,3ee2-p1end,1659521326
3,2,p2,3ee2-p2,1659521348
3,2,p2End,3ee2-p1end,1659521376
3,2,landing,3ee2-landing,1659521400
3,2,posttest,3ee2-posttest,1659521401
3,3,pretest,3ee3-pretest,1659520055
3,3,start,3ee3-start,1659520084
3,3,takeoff,3ee3-takeoff,1659520095
3,3,p1,3ee3-p1,1659520111
3,3,p1End,3ee3-p1end,1659520143
3,3,p2,3ee3-p2,1659520168
3,3,p2End,3ee3-p1end,1659520202
3,3,landing,3ee3-landing,1659520215
3,3,posttest,3ee3-posttest,1659520218
3,4,pretest,3ee4-pretest,1659431971
3,4,start,3ee4-start,1659431993
3,4,takeoff,3ee4-takeoff,1659432023
3,4,p1,3ee4-p1,1659432051
3,4,p1End,3ee4-p1end,1659432085
3,4,p2,3ee4-p2,1659432110
3,4,p2End,3ee4-p1end,1659432146
3,4,landing,3ee4-landing,1659432164
3,4,posttest,3ee4-posttest,1659432168
4,1,pretest,4ee1-pretest,1659521604
4,1,start,4ee1-start,1659521618
4,1,takeoff,4ee1-takeoff,1659521632
4,1,p1,4ee1-p1,1659521648
4,1,p1End,4ee1-p1end,1659521683
4,1,p2,4ee1-p2,1659521708
4,1,p2End,4ee1-p1end,1659521738
4,1,landing,4ee1-landing,1659521752
4,1,posttest,4ee1-posttest,1659521755
4,2,pretest,4ee2-pretest,1659429749
4,2,start,4ee2-start,1659429761
4,2,takeoff,4ee2-takeoff,1659429817
4,2,p1,4ee2-p1,1659429845
4,2,p1End,4ee2-p1end,1659429885
4,2,p2,4ee2-p2,1659429891
4,2,p2End,4ee2-p1end,1659429923
4,2,landing,4ee2-landing,1659429935
4,2,posttest,4ee2-posttest,1659429943
4,3,pretest,4ee3-pretest,1659432191
4,3,start,4ee3-start,1659432208
4,3,takeoff,4ee3-takeoff,1659432230
4,3,p1,4ee3-p1,1659432273
4,3,p1End,4ee3-p1end,1659432313
4,3,p2,4ee3-p2,1659432326
4,3,p2End,4ee3-p1end,1659432364
4,3,landing,4ee3-landing,1659432375
4,3,posttest,4ee3-posttest,1659432378
4,4,pretest,4ee4-pretest,1659520875
4,4,start,4ee4-start,1659520888
4,4,takeoff,4ee4-takeoff,1659520909
4,4,p1,4ee4-p1,1659520931
4,4,p1End,4ee4-p1end,1659520977
4,4,p2,4ee4-p2,1659520978
4,4,p2End,4ee4-p1end,1659521028
4,4,landing,4ee4-landing,1659521029
4,4,posttest,4ee4-posttest,1659521033
5,1,pretest,5ee1-pretest,1659430440
5,1,start,5ee1-start,1659430455
5,1,takeoff,5ee1-takeoff,1659430472
5,1,p1,5ee1-p1,1659430493
5,1,p1End,5ee1-p1end,1659430516
5,1,p2,5ee1-p2,1659430546
5,1,p2End,5ee1-p1end,1659430575
5,1,landing,5ee1-landing,1659430588
5,1,posttest,5ee1-posttest,1659430591
5,2,pretest,5ee2-pretest,1659521958
5,2,start,5ee2-start,1659521966
5,2,takeoff,5ee2-takeoff,1659521977
5,2,p1,5ee2-p1,1659522003
5,2,p1End,5ee2-p1end,1659522028
5,2,p2,5ee2-p2,1659522053
5,2,p2End,5ee2-p1end,1659522085
5,2,landing,5ee2-landing,1659522102
5,2,posttest,5ee2-posttest,1659522103
5,3,pretest,5ee3-pretest,1659520479
5,3,start,5ee3-start,1659520495
5,3,takeoff,5ee3-takeoff,1659520522
5,3,p1,5ee3-p1,1659520550
5,3,p1End,5ee3-p1end,1659520573
5,3,p2,5ee3-p2,1659520600
5,3,p2End,5ee3-p1end,1659520635
5,3,landing,5ee3-landing,1659520651
5,3,posttest,5ee3-posttest,1659520654
5,4,pretest,5ee4-pretest,1659432662
5,4,start,5ee4-start,1659432757
5,4,takeoff,5ee4-takeoff,1659432786
5,4,p1,5ee4-p1,1659432819
5,4,p1End,5ee4-p1end,1659432839
5,4,p2,5ee4-p2,1659432877
5,4,p2End,5ee4-p1end,1659432909
5,4,landing,5ee4-landing,1659432916
5,4,posttest,5ee4-posttest,1659432921
6,1,pretest,6ee1-pretest,1659521765
6,1,start,6ee1-start,1659521781
6,1,takeoff,6ee1-takeoff,1659521790
6,1,p1,6ee1-p1,1659521810
6,1,p1End,6ee1-p1end,1659521844
6,1,p2,6ee1-p2,1659521857
6,1,p2End,6ee1-p1end,1659521884
6,1,landing,6ee1-landing,1659521904
6,1,posttest,6ee1-posttest,1659521907
6,2,pretest,6ee2-pretest,1659430611
6,2,start,6ee2-start,1659430618
6,2,takeoff,6ee2-takeoff,1659430658
6,2,p1,6ee2-p1,1659430674
6,2,p1End,6ee2-p1end,1659430706
6,2,p2,6ee2-p2,1659430732
6,2,p2End,6ee2-p1end,1659430765
6,2,landing,6ee2-landing,1659430784
6,2,posttest,6ee2-posttest,1659430786
6,3,pretest,6ee3-pretest,1659431083
6,3,start,6ee3-start,1659431094
6,3,takeoff,6ee3-takeoff,1659431165
6,3,p1,6ee3-p1,1659431196
6,3,p1End,6ee3-p1end,1659431223
6,3,p2,6ee3-p2,1659431255
6,3,p2End,6ee3-p1end,1659431287
6,3,landing,6ee3-landing,1659431305
