LocalTimestamp,EA
1659515147.99814,0.823345
1659515148.065292,0.822981
1659515148.129881,0.822908
1659515148.195495,0.822884
1659515148.261109,0.82315
1659515148.329799,0.823417
1659515148.396951,0.823878
1659515148.464103,0.824534
1659515148.530743,0.825021
1659515148.597382,0.82524
1659515148.665047,0.825825
1659515148.731687,0.826386
1659515148.798326,0.827145
1659515148.865991,0.828739
1659515148.93263,0.830141
1659515148.999269,0.830856
1659515149.063859,0.831252
1659515149.129473,0.831226
1659515149.195087,0.830215
1659515149.262239,0.830535
1659515149.329391,0.833035
1659515149.396031,0.833954
1659515149.462157,0.834601
1659515149.528284,0.834676
1659515149.594924,0.834252
1659515149.661563,0.833681
1659515149.728203,0.833009
1659515149.793817,0.833308
1659515149.860969,0.832588
1659515149.928121,0.831029
1659515149.993735,0.831499
1659515150.059862,0.831944
1659515150.125989,0.832389
1659515150.192116,0.832762
1659515150.258243,0.83296
1659515150.326933,0.833258
1659515150.392547,0.833233
1659515150.458161,0.833506
1659515150.524801,0.833109
1659515150.591953,0.831301
1659515150.659105,0.831647
1659515150.725744,0.832068
1659515150.792384,0.831004
1659515150.859023,0.830339
1659515150.926688,0.830288
1659515150.992815,0.829944
1659515151.058942,0.829279
1659515151.125068,0.828934
1659515151.191195,0.829722
1659515151.259885,0.83019
1659515151.326012,0.829746
1659515151.392139,0.829205
1659515151.455703,0.829254
1659515151.522855,0.8295
1659515151.590007,0.829796
1659515151.657671,0.830042
1659515151.724311,0.830017
1659515151.790951,0.830116
1659515151.85759,0.830116
1659515151.924742,0.830042
1659515151.991894,0.829549
1659515152.058021,0.828787
1659515152.124148,0.828713
1659515152.192838,0.828787
1659515152.258965,0.828811
1659515152.325091,0.829057
1659515152.388655,0.829549
1659515152.454782,0.829969
1659515152.520909,0.830634
1659515152.589599,0.831152
1659515152.655213,0.830807
1659515152.720827,0.830585
1659515152.787467,0.830436
1659515152.85385,0.830215
1659515152.920233,0.829993
1659515152.986616,0.829623
1659515153.052999,0.829008
1659515153.119639,0.828198
1659515153.186278,0.82734
1659515153.252405,0.82734
1659515153.318532,0.825825
1659515153.386197,0.823198
1659515153.452836,0.823684
1659515153.519475,0.82485
1659515153.584064,0.824777
1659515153.649679,0.822617
1659515153.715293,0.818284
1659515153.783983,0.812978
1659515153.851135,0.810762
1659515153.918287,0.809752
1659515153.984926,0.809542
1659515154.051566,0.811844
1659515154.118206,0.813285
1659515154.18587,0.813309
1659515154.253535,0.811138
1659515154.319149,0.810033
1659515154.386301,0.811468
1659515154.453453,0.811892
1659515154.519068,0.811632
1659515154.584682,0.810926
