LocalTimestamp,T1
1659514094.590745,32.4
1659514094.725049,32.421
1659514094.857303,32.431
1659514094.991607,32.434
1659514095.124886,32.436
1659514095.258165,32.472
1659514095.391443,32.311
1659514095.523697,32.347
1659514095.658001,32.363
1659514095.79128,32.405
1659514095.924559,32.388
1659514096.059889,32.452
1659514096.191117,32.55
1659514096.325421,32.451
1659514096.4587,32.443
1659514096.590954,32.475
1659514096.724233,32.383
1659514096.856487,32.414
1659514096.990791,32.498
1659514097.123044,32.499
1659514097.256323,32.393
1659514097.388577,32.454
1659514097.520831,32.515
1659514097.65411,32.542
1659514097.786363,32.554
1659514097.920667,32.559
1659514098.053946,32.454
1659514098.187225,32.409
1659514098.321529,32.532
1659514098.452758,32.514
1659514098.588087,32.47
1659514098.720341,32.487
1659514098.852595,32.388
1659514098.986899,32.416
1659514099.119153,32.57
1659514099.254482,32.459
1659514099.386736,32.518
1659514099.520015,32.543
1659514099.653294,32.412
1659514099.785547,32.427
1659514099.918826,32.504
1659514100.050055,32.431
1659514100.183334,32.435
1659514100.316612,32.436
1659514100.449891,32.543
1659514100.58317,32.448
1659514100.713374,32.513
1659514100.847678,32.506
1659514100.979931,32.538
1659514101.112185,32.516
1659514101.246489,32.472
1659514101.378743,32.417
1659514101.514072,32.464
1659514101.646326,32.449
1659514101.779605,32.442
1659514101.914934,32.511
1659514102.046163,32.575
1659514102.180467,32.533
1659514102.312721,32.55
1659514102.447025,32.628
1659514102.580304,32.449
1659514102.713583,32.478
1659514102.846862,32.455
1659514102.977065,32.41
1659514103.110344,32.39
1659514103.242597,32.452
1659514103.374851,32.444
1659514103.50813,32.511
1659514103.640384,32.576
1659514103.774688,32.568
1659514103.906942,32.53
1659514104.04022,32.513
1659514104.174525,32.47
1659514104.305753,32.452
1659514104.440057,32.408
1659514104.572311,32.496
1659514104.706615,32.498
1659514104.839894,32.499
1659514104.973173,32.571
1659514105.107477,32.495
1659514105.239731,32.462
1659514105.37301,32.519
1659514105.506289,32.437
1659514105.639568,32.508
1659514105.773872,32.575
1659514105.906126,32.497
1659514106.04043,32.463
1659514106.171658,32.484
1659514106.303912,32.422
1659514106.436166,32.466
1659514106.568419,32.521
1659514106.701698,32.651
1659514106.833952,32.601
1659514106.968256,32.579
1659514107.101535,32.534
1659514107.234814,32.515
1659514107.369118,32.471
1659514107.501372,32.452
1659514107.634651,32.479
1659514107.76793,32.491
1659514107.901208,32.496
1659514108.035513,32.427
1659514108.168792,32.504
1659514108.303096,32.608
1659514108.435349,32.511
1659514108.569654,32.469
1659514108.702932,32.664
1659514108.834161,32.606
1659514108.968465,32.511
1659514109.100719,32.434
1659514109.233998,32.4
1659514109.367277,32.528
1659514109.498505,32.547
1659514109.632809,32.591
1659514109.765063,32.681
1659514109.898342,32.578
1659514110.030596,32.676
1659514110.163874,32.647
1659514110.298179,32.564
1659514110.431458,32.563
1659514110.565762,32.527
1659514110.698015,32.476
1659514110.831294,32.596
1659514110.964573,32.506
1659514111.097852,32.538
1659514111.232156,32.552
1659514111.365435,32.558
1659514111.499739,32.631
1659514111.633018,32.663
1659514111.764247,32.712
1659514111.899576,32.521
1659514112.030805,32.545
1659514112.163058,32.626
1659514112.295312,32.554
1659514112.427566,32.665
1659514112.56187,32.607
1659514112.694124,32.617
1659514112.829453,32.622
1659514112.961707,32.517
1659514113.09396,32.543
1659514113.227239,32.589
1659514113.358468,32.574
1659514113.492772,32.603
1659514113.626051,32.509
1659514113.760355,32.539
1659514113.894659,32.623
1659514114.025887,32.589
1659514114.161217,32.68
1659514114.293471,32.613
1659514114.42675,32.655
1659514114.560029,32.674
1659514114.692282,32.611
1659514114.826586,32.69
1659514114.95884,32.653
1659514115.092119,32.637
1659514115.225398,32.595
1659514115.356627,32.576
1659514115.489905,32.604
1659514115.622159,32.58
1659514115.755438,32.677
1659514115.888717,32.754
1659514116.021996,32.645
1659514116.1563,32.634
1659514116.286503,32.7
1659514116.420807,32.586
1659514116.553061,32.608
1659514116.68634,32.618
