LocalTimestamp,PR
1659431983.808001,167121
1659431983.847297,167204
1659431983.886594,167281
1659431983.928112,167370
1659431983.96963,167482
1659431984.013711,167615
1659431984.057792,167751
1659431984.101872,167982
1659431984.140827,168256
1659431984.179783,168455
1659431984.218738,168518
1659431984.257351,168402
1659431984.295964,168358
1659431984.334578,168380
1659431984.372849,168352
1659431984.411121,168317
1659431984.449393,168275
1659431984.490911,168219
1659431984.532429,168198
1659431984.5707,168187
1659431984.608972,168167
1659431984.647244,168119
1659431984.688762,168078
1659431984.73028,168017
1659431984.769918,167978
1659431984.809557,167978
1659431984.849195,168021
1659431984.890201,168036
1659431984.931206,168049
1659431984.969819,168011
1659431985.008433,167926
1659431985.047046,167882
1659431985.090102,167833
1659431985.133157,167808
1659431985.171771,167835
1659431985.210384,167818
1659431985.248997,167786
1659431985.293078,167740
1659431985.337159,167705
1659431985.38124,167715
1659431985.414044,167767
1659431985.446848,167847
1659431985.490929,167862
1659431985.53501,167830
1659431985.579091,167774
1659431985.621121,167727
1659431985.663152,167705
1659431985.700825,167732
1659431985.738499,167730
1659431985.776173,167703
1659431985.813846,167645
1659431985.85246,167586
1659431985.891073,167564
1659431985.929687,167532
1659431985.971717,167531
1659431986.013748,167520
1659431986.053044,167548
1659431986.092341,167578
1659431986.131638,167616
1659431986.173156,167634
1659431986.214674,167643
1659431986.259096,167628
1659431986.303519,167593
1659431986.347941,167583
1659431986.381258,167549
1659431986.414575,167536
1659431986.455837,167522
1659431986.497098,167534
1659431986.53836,167547
1659431986.579622,167541
1659431986.618577,167522
1659431986.657532,167468
1659431986.696487,167378
1659431986.734759,167347
1659431986.77303,167338
1659431986.811302,167313
1659431986.853333,167320
1659431986.895363,167305
1659431986.936368,167286
1659431986.977374,167226
1659431987.016329,167191
1659431987.055284,167123
1659431987.094239,167074
1659431987.13832,167025
1659431987.1824,167038
1659431987.226481,167093
1659431987.260311,167079
1659431987.29414,167071
1659431987.338562,167086
1659431987.382985,167092
1659431987.427408,167108
1659431987.465679,167141
1659431987.503951,167113
1659431987.542222,167049
1659431987.583228,166976
1659431987.624233,166937
1659431987.663188,166949
1659431987.702143,166986
1659431987.741099,167015
1659431987.77937,167015
1659431987.817642,167021
1659431987.855914,167050
1659431987.897944,167034
1659431987.939975,166990
1659431987.978588,166965
1659431988.017201,166932
1659431988.055815,166941
1659431988.097845,166975
1659431988.139876,166991
1659431988.178489,166994
1659431988.217103,166990
1659431988.255716,167001
1659431988.298259,167003
1659431988.340802,166987
1659431988.380099,166952
1659431988.419396,166925
1659431988.458693,166924
1659431988.499698,166933
1659431988.540703,166925
1659431988.579317,166940
1659431988.61793,166934
1659431988.656543,166926
1659431988.698061,166931
1659431988.739579,166925
1659431988.781097,166914
1659431988.822615,166898
1659431988.861228,166897
1659431988.899842,166915
1659431988.938455,166919
1659431988.980998,166947
1659431989.023541,166992
1659431989.062496,167030
1659431989.101452,167066
1659431989.140407,167068
1659431989.181925,167043
1659431989.223443,167044
1659431989.262739,167090
1659431989.302036,167145
1659431989.341333,167169
1659431989.383876,167167
1659431989.426419,167224
1659431989.464691,167243
1659431989.502963,167280
1659431989.541234,167298
1659431989.583265,167316
1659431989.625295,167329
1659431989.669718,167341
1659431989.71414,167327
1659431989.758563,167330
1659431989.791879,167346
1659431989.825196,167346
1659431989.869277,167351
1659431989.913358,167329
1659431989.957439,167350
1659431989.996394,167378
1659431990.035349,167384
1659431990.074304,167366
1659431990.114797,167352
1659431990.155289,167443
1659431990.193903,167649
1659431990.232516,167834
1659431990.27113,167911
1659431990.310426,167856
1659431990.349723,167807
1659431990.38902,167846
1659431990.430538,167868
1659431990.472056,167887
1659431990.511011,167863
1659431990.549966,167781
1659431990.588921,167678
1659431990.630952,167616
1659431990.672982,167561
1659431990.710912,167588
1659431990.748842,167594
1659431990.786772,167613
1659431990.825727,167654
1659431990.864682,167713
1659431990.903637,167755
1659431990.945668,167775
1659431990.987698,167760
1659431991.027269,167767
1659431991.066839,167742
1659431991.106409,167670
1659431991.145979,167568
1659431991.185549,167429
1659431991.22758,167350
1659431991.26961,167329
1659431991.307882,167378
1659431991.346154,167407
1659431991.384425,167498
1659431991.425943,167555
1659431991.467461,167601
1659431991.506416,167632
1659431991.545371,167660
1659431991.584327,167669
1659431991.626869,167660
1659431991.669413,167646
1659431991.713493,167587
1659431991.757574,167546
