LocalTimestamp,PI
1659432699.841814,168162
1659432699.882307,168243
1659432699.921262,168295
1659432699.960217,168346
1659432699.999172,168409
1659432700.042911,168475
1659432700.08665,168537
1659432700.130389,168525
1659432700.164219,168256
1659432700.198048,167911
1659432700.243154,167763
1659432700.28826,167787
1659432700.333366,167845
1659432700.374884,167910
1659432700.416402,167921
1659432700.455357,167855
1659432700.494312,167824
1659432700.533267,167833
1659432700.572564,167873
1659432700.611861,167948
1659432700.651158,168003
1659432700.693188,168066
1659432700.735219,168112
1659432700.773832,168183
1659432700.812445,168231
1659432700.851059,168286
1659432700.892577,168364
1659432700.934095,168406
1659432700.97305,168258
1659432701.012005,167973
1659432701.05096,167786
1659432701.089232,167767
1659432701.127503,167813
1659432701.165775,167882
1659432701.207805,167928
1659432701.249836,167904
1659432701.289474,167888
1659432701.329113,167909
1659432701.368752,167952
1659432701.409757,168019
1659432701.450762,168099
1659432701.489376,168156
1659432701.527989,168216
1659432701.566602,168280
1659432701.609658,168323
1659432701.652714,168356
1659432701.691327,168419
1659432701.72994,168435
1659432701.768554,168282
1659432701.809047,167946
1659432701.84954,167685
1659432701.893962,167599
1659432701.938384,167627
1659432701.982807,167645
1659432702.02142,167682
1659432702.060034,167682
1659432702.098647,167674
1659432702.140677,167712
1659432702.182708,167725
1659432702.221321,167794
1659432702.259935,167805
1659432702.298548,167834
1659432702.340066,167924
1659432702.381584,167984
1659432702.419856,168043
1659432702.458127,168097
1659432702.496399,168180
1659432702.536038,168219
1659432702.575676,167982
1659432702.615315,167658
1659432702.65632,167490
1659432702.697325,167455
1659432702.735597,167470
1659432702.773869,167537
1659432702.81214,167511
1659432702.851779,167453
1659432702.891418,167444
1659432702.931056,167455
1659432702.973086,167541
1659432703.015117,167689
1659432703.05373,167802
1659432703.092344,167884
1659432703.130957,167982
1659432703.172475,168011
1659432703.213993,168038
1659432703.258415,168111
1659432703.302838,168196
1659432703.34726,168268
1659432703.380065,168183
1659432703.412869,167979
1659432703.457633,167804
1659432703.502397,167694
1659432703.547162,167605
1659432703.586117,167561
1659432703.625072,167580
1659432703.664027,167498
1659432703.705032,167374
1659432703.746037,167286
1659432703.785676,167300
1659432703.825315,167344
1659432703.864953,167421
1659432703.906984,167522
1659432703.949014,167574
1659432703.987628,167552
1659432704.026241,167596
1659432704.064854,167689
1659432704.103809,167728
1659432704.142765,167718
1659432704.18172,167715
1659432704.222725,167324
1659432704.26373,166856
1659432704.302002,166891
1659432704.340274,167098
1659432704.378545,167212
1659432704.417159,167504
1659432704.455772,167821
1659432704.494385,167894
1659432704.536929,167899
1659432704.579472,167978
1659432704.618085,168066
1659432704.656698,168078
1659432704.695312,168092
1659432704.73683,168141
1659432704.778348,168231
1659432704.820891,168320
1659432704.863434,168462
1659432704.902047,168556
1659432704.94066,168621
1659432704.979274,168671
1659432705.023696,168669
1659432705.068119,168429
1659432705.112541,168024
1659432705.144833,167816
1659432705.177125,167750
1659432705.221206,167683
1659432705.265286,167644
1659432705.309367,167645
1659432705.34798,167595
1659432705.386594,167529
1659432705.425207,167578
1659432705.46775,167622
1659432705.510293,167622
1659432705.548565,167616
1659432705.586837,167671
1659432705.625108,167705
1659432705.666114,167771
1659432705.707119,167828
1659432705.746074,167932
1659432705.785029,168017
1659432705.823984,167951
1659432705.863281,167600
1659432705.902578,167283
1659432705.941875,167190
1659432705.98288,167221
1659432706.023886,167236
1659432706.062841,167267
1659432706.101796,167325
1659432706.140751,167374
1659432706.182269,167365
1659432706.223787,167407
1659432706.262742,167425
1659432706.301697,167466
1659432706.340652,167569
1659432706.381657,167676
1659432706.422663,167756
1659432706.464693,167825
1659432706.506724,167895
1659432706.548754,167981
1659432706.590785,168046
1659432706.631278,167923
1659432706.67177,167503
1659432706.710726,167116
1659432706.749681,166984
1659432706.788636,166985
1659432706.827933,167057
1659432706.867229,167228
1659432706.906526,167350
1659432706.948044,167420
1659432706.989562,167392
1659432707.028859,167426
1659432707.068156,167493
1659432707.107452,167536
1659432707.149483,167599
1659432707.191514,167658
1659432707.229785,167753
1659432707.268057,167871
1659432707.306329,168017
1659432707.345284,168164
1659432707.384239,168287
1659432707.423194,168191
1659432707.465737,167772
1659432707.50828,167417
1659432707.54621,167337
1659432707.58414,167388
1659432707.62207,167521
1659432707.663588,167671
1659432707.705106,167765
1659432707.749528,167779
1659432707.793951,167798
1659432707.838373,167829
1659432707.871177,167913
1659432707.903982,168038
1659432707.948404,168164
1659432707.992827,168278
1659432708.037249,168355
1659432708.071079,168428
1659432708.104908,168484
1659432708.14933,168526
1659432708.193753,168498
1659432708.238175,168292
1659432708.27713,167885
1659432708.316086,167604
1659432708.355041,167537
1659432708.397584,167547
1659432708.440127,167568
1659432708.478057,167550
1659432708.515987,167469
1659432708.553917,167382
1659432708.592188,167354
1659432708.63046,167403
1659432708.668732,167495
1659432708.71025,167554
1659432708.751768,167567
1659432708.790723,167620
1659432708.829678,167659
1659432708.868633,167780
1659432708.907246,167826
1659432708.94586,167745
1659432708.984473,167623
1659432709.026504,167261
1659432709.068534,167119
1659432709.112957,167157
1659432709.157379,167219
1659432709.201802,167285
1659432709.235118,167343
1659432709.268435,167350
1659432709.313541,167321
1659432709.358647,167377
1659432709.403753,167460
1659432709.436557,167514
1659432709.469362,167648
1659432709.513784,167730
1659432709.558207,167810
1659432709.602629,167894
1659432709.641584,167905
1659432709.680539,167909
1659432709.719494,167725
1659432709.761525,167363
1659432709.803555,167163
1659432709.841827,167169
1659432709.880099,167239
1659432709.91837,167287
1659432709.956984,167393
1659432709.995597,167442
1659432710.03421,167428
1659432710.075216,167427
1659432710.116221,167449
1659432710.155176,167489
1659432710.194131,167527
1659432710.233086,167539
1659432710.275117,167514
1659432710.317147,167466
1659432710.356786,167484
1659432710.396425,167600
1659432710.436063,167693
1659432710.474676,167498
1659432710.51329,167074
1659432710.551903,166866
1659432710.593421,166907
1659432710.634939,166955
1659432710.677482,167005
1659432710.720025,167020
1659432710.758639,166976
1659432710.797252,166951
1659432710.835865,166934
1659432710.876871,166977
1659432710.917876,167094
1659432710.956831,167316
1659432710.995786,167446
1659432711.034741,167509
1659432711.07848,167630
1659432711.122219,167730
1659432711.165958,167827
1659432711.199275,167703
1659432711.232592,167299
1659432711.277356,166954
